timestamp,cpu_usage,ram_usage,job_count
2025-01-01T00:00:00,36.76,46.48,46
2025-01-01T01:00:00,36.46,39.49,42
2025-01-01T02:00:00,37.13,46.26,40
2025-01-01T03:00:00,36.63,41.00,42
2025-01-01T04:00:00,40.90,46.07,47
2025-01-01T05:00:00,34.14,36.93,34
2025-01-01T06:00:00,42.59,45.71,59
2025-01-01T07:00:00,54.18,49.23,76
2025-01-01T08:00:00,50.84,49.85,77
2025-01-01T09:00:00,72.45,64.46,127
2025-01-01T10:00:00,78.73,70.01,122
2025-01-01T11:00:00,72.36,59.94,128
2025-01-01T12:00:00,75.64,69.34,136
2025-01-01T13:00:00,76.69,68.93,133
2025-01-01T14:00:00,71.00,72.66,141
2025-01-01T15:00:00,80.06,70.39,132
2025-01-01T16:00:00,66.94,61.07,127
2025-01-01T17:00:00,67.57,64.37,123
2025-01-01T18:00:00,66.08,63.69,120
2025-01-01T19:00:00,44.44,45.27,69
2025-01-01T20:00:00,53.50,48.43,70
2025-01-01T21:00:00,34.95,48.60,56
2025-01-01T22:00:00,35.51,40.78,45
2025-01-01T23:00:00,31.00,38.68,31
2025-01-02T00:00:00,29.52,38.75,34
2025-01-02T01:00:00,35.51,39.65,30
2025-01-02T02:00:00,30.53,38.63,31
2025-01-02T03:00:00,27.77,38.22,24
2025-01-02T04:00:00,30.51,44.59,43
2025-01-02T05:00:00,42.91,41.80,45
2025-01-02T06:00:00,45.63,41.89,52
2025-01-02T07:00:00,53.03,47.31,68
2025-01-02T08:00:00,52.27,52.81,80
2025-01-02T09:00:00,66.70,62.50,111
2025-01-02T10:00:00,67.91,62.32,123
2025-01-02T11:00:00,76.40,66.94,130
2025-01-02T12:00:00,73.62,71.56,138
2025-01-02T13:00:00,81.29,75.42,146
2025-01-02T14:00:00,66.73,69.85,131
2025-01-02T15:00:00,80.69,71.20,140
2025-01-02T16:00:00,74.91,67.81,129
2025-01-02T17:00:00,67.79,65.36,125
2025-01-02T18:00:00,63.32,56.82,106
2025-01-02T19:00:00,54.79,50.81,78
2025-01-02T20:00:00,48.28,46.79,63
2025-01-02T21:00:00,47.49,41.72,60
2025-01-02T22:00:00,33.95,45.87,41
2025-01-02T23:00:00,36.83,39.86,45
2025-01-03T00:00:00,37.65,38.09,38
2025-01-03T01:00:00,36.08,39.91,39
2025-01-03T02:00:00,38.42,42.56,44
2025-01-03T03:00:00,27.93,40.34,39
2025-01-03T04:00:00,34.40,32.67,37
2025-01-03T05:00:00,37.81,45.08,60
2025-01-03T06:00:00,47.64,52.67,72
2025-01-03T07:00:00,47.09,56.28,74
2025-01-03T08:00:00,55.39,53.83,85
2025-01-03T09:00:00,66.85,67.02,128
2025-01-03T10:00:00,77.47,67.32,144
2025-01-03T11:00:00,77.01,62.39,129
2025-01-03T12:00:00,64.83,69.55,123
2025-01-03T13:00:00,77.85,68.95,139
2025-01-03T14:00:00,80.71,69.59,144
2025-01-03T15:00:00,72.90,69.30,132
2025-01-03T16:00:00,73.83,62.12,123
2025-01-03T17:00:00,68.75,65.77,121
2025-01-03T18:00:00,71.14,62.97,124
2025-01-03T19:00:00,56.14,48.88,70
2025-01-03T20:00:00,49.16,47.60,60
2025-01-03T21:00:00,42.27,51.20,65
2025-01-03T22:00:00,33.92,48.72,45
2025-01-03T23:00:00,36.95,42.33,37
2025-01-04T00:00:00,29.21,31.53,24
2025-01-04T01:00:00,34.89,37.15,35
2025-01-04T02:00:00,34.49,38.82,47
2025-01-04T03:00:00,28.30,39.40,32
2025-01-04T04:00:00,39.51,37.78,39
2025-01-04T05:00:00,40.47,35.89,53
2025-01-04T06:00:00,37.88,40.36,49
2025-01-04T07:00:00,48.31,48.07,66
2025-01-04T08:00:00,53.84,48.38,86
2025-01-04T09:00:00,57.99,47.19,91
2025-01-04T10:00:00,61.90,50.31,93
2025-01-04T11:00:00,54.75,51.70,94
2025-01-04T12:00:00,61.42,57.32,104
2025-01-04T13:00:00,62.82,55.71,99
2025-01-04T14:00:00,60.02,52.09,101
2025-01-04T15:00:00,61.57,54.10,93
2025-01-04T16:00:00,65.54,57.16,101
2025-01-04T17:00:00,66.23,51.67,100
2025-01-04T18:00:00,56.00,49.68,86
2025-01-04T19:00:00,54.39,44.29,75
2025-01-04T20:00:00,40.86,38.13,66
2025-01-04T21:00:00,44.60,44.31,60
2025-01-04T22:00:00,40.27,35.80,50
2025-01-04T23:00:00,35.57,40.16,42
2025-01-05T00:00:00,27.45,36.32,36
2025-01-05T01:00:00,34.30,33.33,41
2025-01-05T02:00:00,31.11,36.06,29
2025-01-05T03:00:00,30.92,31.03,33
2025-01-05T04:00:00,32.48,34.08,39
2025-01-05T05:00:00,41.10,37.24,45
2025-01-05T06:00:00,46.90,44.17,70
2025-01-05T07:00:00,39.07,46.08,67
2025-01-05T08:00:00,50.52,46.68,78
2025-01-05T09:00:00,54.94,49.16,85
2025-01-05T10:00:00,51.05,46.10,87
2025-01-05T11:00:00,58.96,55.80,94
2025-01-05T12:00:00,60.67,48.82,99
2025-01-05T13:00:00,65.41,51.69,107
2025-01-05T14:00:00,66.74,52.17,103
2025-01-05T15:00:00,66.71,54.78,104
2025-01-05T16:00:00,55.72,53.48,90
2025-01-05T17:00:00,51.97,47.11,78
2025-01-05T18:00:00,60.53,50.91,85
2025-01-05T19:00:00,46.32,45.88,75
2025-01-05T20:00:00,49.69,46.77,72
2025-01-05T21:00:00,42.00,45.03,59
2025-01-05T22:00:00,36.30,38.17,52
2025-01-05T23:00:00,36.08,40.41,45
2025-01-06T00:00:00,37.98,44.41,49
2025-01-06T01:00:00,31.98,40.05,36
2025-01-06T02:00:00,32.86,40.94,36
2025-01-06T03:00:00,41.31,39.21,32
2025-01-06T04:00:00,36.60,39.76,49
2025-01-06T05:00:00,29.56,40.99,46
2025-01-06T06:00:00,34.08,43.76,53
2025-01-06T07:00:00,48.09,55.41,76
2025-01-06T08:00:00,56.92,57.37,90
2025-01-06T09:00:00,71.46,61.19,122
2025-01-06T10:00:00,86.74,75.40,152
2025-01-06T11:00:00,87.04,74.74,141
2025-01-06T12:00:00,80.99,66.86,131
2025-01-06T13:00:00,81.64,75.43,138
2025-01-06T14:00:00,76.48,63.37,135
2025-01-06T15:00:00,77.98,68.36,137
2025-01-06T16:00:00,68.32,62.06,112
2025-01-06T17:00:00,65.98,60.47,122
2025-01-06T18:00:00,56.21,57.72,104
2025-01-06T19:00:00,52.87,54.66,77
2025-01-06T20:00:00,46.80,44.35,68
2025-01-06T21:00:00,44.47,48.34,49
2025-01-06T22:00:00,25.69,42.52,34
2025-01-06T23:00:00,27.59,40.79,44
2025-01-07T00:00:00,32.91,36.90,28
2025-01-07T01:00:00,42.84,37.96,40
2025-01-07T02:00:00,24.47,35.10,28
2025-01-07T03:00:00,38.70,42.31,44
2025-01-07T04:00:00,30.77,36.29,43
2025-01-07T05:00:00,33.21,39.37,47
2025-01-07T06:00:00,43.61,50.78,69
2025-01-07T07:00:00,40.93,44.99,65
2025-01-07T08:00:00,56.63,50.03,80
2025-01-07T09:00:00,68.47,65.83,129
2025-01-07T10:00:00,72.47,58.13,124
2025-01-07T11:00:00,78.47,74.10,141
2025-01-07T12:00:00,74.92,74.27,139
2025-01-07T13:00:00,73.35,66.90,132
2025-01-07T14:00:00,74.95,64.39,135
2025-01-07T15:00:00,84.12,67.48,135
2025-01-07T16:00:00,75.04,65.81,131
2025-01-07T17:00:00,66.04,63.42,118
2025-01-07T18:00:00,59.81,58.60,102
2025-01-07T19:00:00,48.94,50.41,64
2025-01-07T20:00:00,43.60,44.63,52
2025-01-07T21:00:00,41.93,45.59,53
2025-01-07T22:00:00,41.05,44.16,53
2025-01-07T23:00:00,28.60,33.89,31
2025-01-08T00:00:00,31.11,36.74,42
2025-01-08T01:00:00,34.81,37.86,27
2025-01-08T02:00:00,36.65,39.42,36
2025-01-08T03:00:00,37.30,43.17,54
2025-01-08T04:00:00,34.13,40.08,41
2025-01-08T05:00:00,46.18,49.34,56
2025-01-08T06:00:00,50.47,50.08,69
2025-01-08T07:00:00,52.52,53.10,74
2025-01-08T08:00:00,63.76,55.98,84
2025-01-08T09:00:00,64.39,67.54,121
2025-01-08T10:00:00,63.76,60.32,115
2025-01-08T11:00:00,78.14,65.96,132
2025-01-08T12:00:00,81.72,74.49,145
2025-01-08T13:00:00,69.15,67.24,128
2025-01-08T14:00:00,69.68,69.88,128
2025-01-08T15:00:00,73.80,62.48,131
2025-01-08T16:00:00,70.95,64.96,119
2025-01-08T17:00:00,69.68,65.53,126
2025-01-08T18:00:00,60.45,60.58,112
2025-01-08T19:00:00,52.68,49.90,78
2025-01-08T20:00:00,49.17,48.76,65
2025-01-08T21:00:00,29.65,41.78,53
2025-01-08T22:00:00,31.04,41.53,37
2025-01-08T23:00:00,27.77,38.31,43
2025-01-09T00:00:00,35.99,35.78,35
2025-01-09T01:00:00,35.10,47.67,46
2025-01-09T02:00:00,33.14,34.23,32
2025-01-09T03:00:00,33.84,39.55,47
2025-01-09T04:00:00,40.34,45.11,51
2025-01-09T05:00:00,45.02,43.25,47
2025-01-09T06:00:00,43.20,44.07,66
2025-01-09T07:00:00,57.08,53.61,82
2025-01-09T08:00:00,53.37,51.51,79
2025-01-09T09:00:00,75.92,64.80,125
2025-01-09T10:00:00,73.45,66.07,128
2025-01-09T11:00:00,72.15,69.09,130
2025-01-09T12:00:00,76.43,67.02,132
2025-01-09T13:00:00,82.75,69.22,129
2025-01-09T14:00:00,76.39,65.63,137
2025-01-09T15:00:00,74.02,68.51,131
2025-01-09T16:00:00,70.11,65.27,130
2025-01-09T17:00:00,74.41,68.55,128
2025-01-09T18:00:00,68.22,59.80,109
2025-01-09T19:00:00,48.08,47.41,72
2025-01-09T20:00:00,46.53,46.99,65
2025-01-09T21:00:00,38.76,49.68,57
2025-01-09T22:00:00,32.84,43.25,47
2025-01-09T23:00:00,32.73,46.14,40
2025-01-10T00:00:00,34.44,37.18,25
2025-01-10T01:00:00,39.26,42.74,33
2025-01-10T02:00:00,32.16,33.60,38
2025-01-10T03:00:00,29.45,40.82,39
2025-01-10T04:00:00,35.50,42.13,57
2025-01-10T05:00:00,40.73,45.37,61
2025-01-10T06:00:00,44.84,49.15,59
2025-01-10T07:00:00,51.45,52.11,79
2025-01-10T08:00:00,57.34,54.96,81
2025-01-10T09:00:00,74.24,63.41,126
2025-01-10T10:00:00,64.33,60.50,118
2025-01-10T11:00:00,80.86,63.03,132
2025-01-10T12:00:00,73.84,67.51,134
2025-01-10T13:00:00,77.64,70.19,134
2025-01-10T14:00:00,82.71,69.79,138
2025-01-10T15:00:00,72.69,65.81,134
2025-01-10T16:00:00,73.21,63.34,126
2025-01-10T17:00:00,69.13,65.17,110
2025-01-10T18:00:00,59.22,57.38,107
2025-01-10T19:00:00,47.76,47.75,67
2025-01-10T20:00:00,48.73,45.03,70
2025-01-10T21:00:00,39.45,43.78,48
2025-01-10T22:00:00,34.94,44.75,56
